1,"Mon, Fri 2:30 pm - 8 pm / Tues 11 am - 2 pm / Weds 1:15 pm - 3:15 am / Thurs 10 am - 3:15 am / Sat 5 am - 11:30 am / Sun 10:45 am - 5 pm"
2,"Mon, Weds 11:45 am - 4:45 pm / Tues 7:45 am - 2 am / Thurs 5:45 pm - 12 am / Fri, Sun 6 am - 9 pm / Sat 10:15 am - 9 pm"
3,"Mon, Weds 3:45 pm - 5 pm / Tues 11:30 am - 3 am / Thurs 10 am - 11:30 pm / Fri 7 am - 9:45 am / Sat 12:45 pm - 1:15 pm / Sun 2 pm - 7 pm"
4,Mon 5:30 am - 6 pm / Tues 10 am - 12:15 am / Weds 1:45 pm - 4:45 pm / Thurs 7:15 am - 3:45 am / Fri 1:30 pm - 12:45 am / Sat 7 am - 11:45 am / Sun 1:15 pm - 12:30 am
5,"Mon, Weds 5:15 am - 8:30 pm / Tues, Sat 1:30 pm - 3:45 pm / Thurs 7:45 am - 8:15 am / Fri 1:30 pm - 7 pm / Sun 12:45 pm - 6:15 pm"
6,"Mon 1:45 pm - 3 pm / Tues 8:45 am - 2:15 am / Weds 6:45 am - 10:45 am / Thurs, Sat 5:45 am - 11:15 am / Fri 3:45 pm - 2:30 am / Sun 5 pm - 3:45 am"
7,"Mon 5 pm - 10:30 pm / Tues, Sat 5 pm - 6:45 pm / Weds - Thurs 3:15 pm - 3:45 am / Fri 9:15 am - 10:45 am / Sun 10:45 am - 3:45 pm"
8,Mon - Weds 11 am - 9 pm / Thurs 6 am - 9 pm / Fri 12:15 pm - 7 pm / Sat 2:45 pm - 1:30 am / Sun 7 am - 4:15 pm
9,Mon 6 am - 8:30 pm / Tues - Weds 6:45 am - 3 pm / Thurs 6:15 am - 8:30 am / Fri 4 pm - 10:15 pm / Sat 1:30 pm - 11:45 pm / Sun 6:30 am - 8:15 am
10,"Mon 4:30 pm - 11:15 pm / Tues, Sat 3:30 pm - 5 pm / Weds 5:15 am - 9:30 pm / Thurs 1 pm - 2:15 pm / Fri 6:45 am - 7:45 am / Sun 8:30 am - 2 am"
11,Mon 10:30 am - 3:15 pm / Tues - Weds 7:15 am - 12:30 am / Thurs 6:45 am - 12 am / Fri 5 am - 11:30 pm / Sat - Sun 5:30 am - 9:45 am
12,Mon 5 pm - 2 am / Tues - Weds 9:30 am - 8 pm / Thurs 8:15 am - 11 pm / Fri 5 pm - 10:15 pm / Sat 5:30 am - 5 pm / Sun 11:45 am - 6 pm
13,"Mon, Weds 11 am - 8 pm / Tues, Thurs - Fri 1:15 pm - 8:30 pm / Sat 7:45 am - 6:15 pm / Sun 11:45 am - 6 pm"
14,"Mon, Fri 3:15 pm - 7:30 pm / Tues - Weds 1 pm - 12 am / Thurs 1:15 pm - 4:45 pm / Sat 6:15 am - 3:15 am / Sun 5:30 pm - 10:30 pm"
15,"Mon 5:45 pm - 3:15 am / Tues 9:15 am - 2:30 pm / Weds, Sun 7:45 am - 8:30 pm / Thurs 5 pm - 11 pm / Fri 12:45 pm - 4:30 pm / Sat 1:45 pm - 10 pm"
16,"Mon 8 am - 5:30 pm / Tues 7:30 am - 12:15 am / Weds, Fri 11:30 am - 3 am / Thurs 5:15 am - 3:30 am / Sat - Sun 10:45 am - 5:30 pm"
